Ticker,MarketCap,Beta,PE,EPS,DividendYield,PayoutRatio,Sector,Currency,AsOfDate
AAPL,3775609176064.0,1.093,34.25161,7.46,0.41,0.1367,Technology,USD,2026-01-18
MSFT,3418215677952.0,1.073,32.683723,14.07,0.79,0.2361,Technology,USD,2026-01-18
GOOGL,3997000269824.0,1.086,32.576504,10.13,0.25,0.0809,Communication Services,USD,2026-01-18
AMZN,2556244262912.0,1.376,33.77401,7.08,,0.0,Consumer Cyclical,USD,2026-01-18
META,1563357216768.0,1.287,27.469,22.58,0.34,0.091800004,Communication Services,USD,2026-01-18
NVDA,4531098746880.0,2.314,46.065594,4.04,0.02,0.0099,Technology,USD,2026-01-18
TSLA,1455112323072.0,1.835,303.8333,1.44,,0.0,Consumer Cyclical,USD,2026-01-18
ORCL,549026398208.0,1.651,35.986816,5.31,1.05,0.35709998,Technology,USD,2026-01-18
PLTR,407496097792.0,1.545,397.60464,0.43,,0.0,Technology,USD,2026-01-18
RDDT,43775414272.0,,106.456215,2.17,,0.0,Communication Services,USD,2026-01-18
MU,408278466560.0,1.503,34.481937,10.52,0.13,0.0437,Technology,USD,2026-01-18
AMD,377428901888.0,1.95,122.01579,1.9,,0.0,Technology,USD,2026-01-18
TSM,1775859138560.0,1.274,32.671757,10.48,0.98,0.2873,Technology,USD,2026-01-18
ALAB,30740457472.0,,149.18033,1.22,,0.0,Technology,USD,2026-01-18
MSTR,50262061056.0,3.433,7.133881,24.35,,0.0,Technology,USD,2026-01-18
SPY,634793099264.0,,28.0034,,1.07,,,USD,2026-01-18
QQQ,244136722432.0,,33.576214,,0.46,,,USD,2026-01-18
DIA,40086872064.0,,23.90545,,1.43,,,USD,2026-01-18
IWM,74691846144.0,,19.551304,,1.04,,,USD,2026-01-18
EEM,43541385216.0,,16.989386,,2.22,,,USD,2026-01-18
VEA,,,18.945908,,3.22,,,USD,2026-01-18
XLK,39616794624.0,,38.738438,,0.54,,,USD,2026-01-18
XLE,8890560512.0,,18.87545,,3.28,,,USD,2026-01-18
XLF,48094744576.0,,18.729504,,1.31,,,USD,2026-01-18
XLV,30745413632.0,,26.254498,,1.6,,,USD,2026-01-18
GLD,109661790208.0,,,,0.0,,,USD,2026-01-18
SLV,27664277504.0,,,,0.0,,,USD,2026-01-18
USO,8533515264.0,,21.679274,,0.0,,,USD,2026-01-18
EWZ,6652242944.0,,11.512479,,5.18,,,USD,2026-01-18
URA,,,41.72758,,4.87,,,USD,2026-01-18
SOXX,2619895552.0,,43.20697,,0.57,,,USD,2026-01-18
BTC-USD,1903730229248.0,,,,,,,USD,2026-01-18
ETH-USD,403406258176.0,,,,,,,USD,2026-01-18
